Variable Name,Description,Data Type,Non-Null Count,Sample Values
QLACTLM2,ACTIVITY LIMITATION DUE TO HEALTH PROBLEMS,float64,432118,"[1.0, 1.0, 2.0]"
USEEQUIP,HEALTH PROBLEMS REQUIRING SPECIAL EQUIPMENT,float64,431026,"[1.0, 2.0, 2.0]"
BLIND,BLIND OR DIFFICULTY SEEING,float64,430302,"[2.0, 1.0, 2.0]"
DECIDE,DIFFICULTY CONCENTRATING OR REMEMBERING,float64,429716,"[2.0, 1.0, 2.0]"
DIFFWALK,DIFFICULTY WALKING OR CLIMBING STAIRS,float64,429122,"[1.0, 2.0, 1.0]"
DIFFDRES,DIFFICULTY DRESSING OR BATHING,float64,428728,"[1.0, 2.0, 2.0]"
DIFFALON,DIFFICULTY DOING ERRANDS ALONE,float64,428130,"[1.0, 2.0, 1.0]"
SMOKE100,SMOKED AT LEAST 100 CIGARETTES,float64,427201,"[1.0, 1.0, 2.0]"
SMOKDAY2,FREQUENCY OF DAYS NOW SMOKING,float64,184193,"[3.0, 1.0, 3.0]"
STOPSMK2,STOPPED SMOKING IN PAST 12 MONTHS,float64,61518,"[2.0, 1.0, 2.0]"
LASTSMK2,INTERVAL SINCE LAST SMOKED,float64,122190,"[2.0, 7.0, 7.0]"
USENOW3,USE OF SMOKELESS TOBACCO PRODUCTS,float64,426566,"[3.0, 3.0, 3.0]"
ALCDAY5,DAYS IN PAST 30 HAD ALCOHOLIC BEVERAGE,float64,425525,"[888.0, 888.0, 888.0]"
AVEDRNK2,AVG ALCOHOLIC DRINKS PER DAY IN PAST 30,float64,210838,"[1.0, 2.0, 1.0]"
DRNK3GE5,BINGE DRINKING,float64,210420,"[88.0, 88.0, 88.0]"
MAXDRNKS,MOST DRINKS ON SINGLE OCCASION PAST 30 DAYS,float64,210017,"[1.0, 2.0, 1.0]"
FRUITJU1,HOW MANY TIMES DID YOU DRINK 100 PERCENT PURE FRUIT JUICES?,float64,413458,"[305.0, 302.0, 555.0]"
FRUIT1,HOW MANY TIMES DID YOU EAT FRUIT?,float64,412306,"[310.0, 305.0, 101.0]"
FVBEANS,HOW MANY TIMES DID YOU EAT BEANS OR LENTILS?,float64,411081,"[320.0, 302.0, 555.0]"
FVGREEN,HOW MANY TIMES DID YOU EAT DARK GREEN VEGETABLES?,float64,410145,"[310.0, 202.0, 301.0]"
FVORANG,HOW MANY TIMES DID YOU EAT ORANGE-COLORED VEGETABLES?,float64,409341,"[305.0, 202.0, 301.0]"
VEGETAB1,HOW MANY TIMES DID YOU EAT OTHER VEGETABLES?,float64,408318,"[101.0, 304.0, 201.0]"
EXERANY2,EXERCISE IN PAST 30 DAYS,float64,406012,"[2.0, 1.0, 2.0]"
EXRACT11,TYPE OF PHYSICAL ACTIVITY,float64,295778,"[64.0, 18.0, 18.0]"
EXEROFT1,"HOW MANY TIMES WALKING, RUNNING, JOGGING, OR SWIMMING",float64,294025,"[212.0, 101.0, 102.0]"
EXERHMM1,"MINUTES OR HOURS WALKING, RUNNING, JOGGING, OR SWIMMING",float64,293665,"[100.0, 100.0, 100.0]"
EXRACT21,OTHER TYPE OF PHYSICAL ACTIVITY GIVING MOST EXERCISE DURING PAST MONTH,float64,293280,"[69.0, 73.0, 64.0]"
EXEROFT2,"HOW MANY TIMES WALKING, RUNNING, JOGGING, OR SWIMMING",float64,196916,"[212.0, 107.0, 107.0]"
EXERHMM2,"MINUTES OR HOURS WALKING, RUNNING, JOGGING, OR SWIMMING",float64,196734,"[100.0, 30.0, 15.0]"
STRENGTH,HOW MANY TIMES DID YOU DO PHYSICAL ACTIVITIES OR EXERCISES TO STRENGTHEN YOUR MUSCLES?,float64,402736,"[888.0, 888.0, 888.0]"
LMTJOIN3,LIMITED BECAUSE OF JOINT SYMPTOMS,float64,136690,"[1.0, 1.0, 1.0]"
ARTHDIS2,DOES ARTHRITIS AFFECT WHETHER YOU WORK,float64,136503,"[1.0, 1.0, 1.0]"
ARTHSOCL,SOCIAL ACTIVITIES LIMITED BECAUSE OF JOINT SYMPTOMS,float64,136294,"[1.0, 1.0, 1.0]"
JOINPAIN,HOW BAD WAS JOINT PAIN,float64,133728,"[6.0, 8.0, 7.0]"
SEATBELT,HOW OFTEN USE SEATBELTS IN CAR?,float64,400989,"[1.0, 3.0, 1.0]"
FLUSHOT6,ADULT FLU SHOT/SPRAY PAST 12 MOS,float64,400075,"[1.0, 2.0, 1.0]"
FLSHTMY2,WHEN RECEIVED MOST RECENT SEASONAL FLU SHOT/SPRAY,float64,190194,"[112014.0, 777777.0, 112014.0]"
IMFVPLAC,WHERE DID YOU GET YOUR LAST FLU SHOT/VACCINE?,float64,191199,"[1.0, 5.0, 1.0]"
PNEUVAC3,PNEUMONIA SHOT EVER,float64,399513,"[1.0, 2.0, 1.0]"
HIVTST6,EVER TESTED HIV,float64,398069,"[1.0, 2.0, 9.0]"
HIVTSTD3,MONTH AND YEAR OF LAST HIV TEST,float64,113692,"[777777.0, 91991.0, 777777.0]"
WHRTST10,LOCATION OF LAST HIV TEST,float64,113518,"[1.0, 4.0, 4.0]"
PDIABTST,HAD A TEST FOR HIGH BLOOD SUGAR IN PAST THREE YEARS,float64,82760,"[1.0, 2.0, 1.0]"
PREDIAB1,EVER BEEN TOLD YOU HAVE PRE-DIABETES OR BORDERLINE DIABETES,float64,82760,"[3.0, 3.0, 3.0]"
INSULIN,NOW TAKING INSULIN,float64,29424,"[2.0, 1.0, 1.0]"
BLDSUGAR,HOW OFTEN CHECK BLOOD FOR GLUCOSE,float64,29423,"[330.0, 104.0, 101.0]"
FEETCHK2,HOW OFTEN CHECK FEET FOR SORES OR IRRITATIONS,float64,29421,"[202.0, 101.0, 101.0]"
DOCTDIAB,TIMES SEEN HEALTH PROFESSIONAL FOR DIABETES,float64,29418,"[4.0, 2.0, 88.0]"
CHKHEMO3,TIMES CHECKED FOR GLYCOSYLATED HEMOGLOBIN,float64,29417,"[4.0, 2.0, 77.0]"
FEETCHK,TIMES FEET CHECK FOR SORES/IRRITATIONS,float64,29139,"[6.0, 2.0, 88.0]"
EYEEXAM,LAST EYE EXAM WHERE PUPILS WERE DILATED,float64,29417,"[2.0, 1.0, 3.0]"
DIABEYE,EVER TOLD DIABETES HAS AFFECTED EYES,float64,29416,"[2.0, 2.0, 2.0]"
DIABEDU,EVER TAKEN CLASS IN MANAGING DIABETES,float64,29416,"[1.0, 1.0, 1.0]"
PAINACT2,HOW MANY DAYS HARD TO DO USUAL ACTIVITIES IN PAST 30 DAYS,float64,0,[]
QLMENTL2,HOW MANY DAYS DEPRESSED IN PAST 30 DAYS,float64,0,[]
QLSTRES2,HOW MANY DAYS FELT ANXIOUS IN PAST 30 DAYS,float64,0,[]
QLHLTH2,HOW MANY DAYS FULL OF ENERGY IN PAST 30 DAYS,float64,0,[]
CAREGIV1,PROVIDED REGULAR CARE FOR FAMILY OR FRIEND,float64,108995,"[2.0, 2.0, 2.0]"
CRGVREL1,RELATIONSHIP OF PERSON TO WHOM YOU ARE GIVING CARE?,float64,24020,"[10.0, 1.0, 1.0]"
CRGVLNG1,HOW LONG PROVIDED CARE FOR PERSON.,float64,23995,"[4.0, 4.0, 5.0]"
CRGVHRS1,HOW MANY HOURS DO YOU PROVIDE CARE FOR PERSON?,float64,23963,"[2.0, 4.0, 4.0]"
CRGVPRB1,"WHAT IS THE MAJOR HEALTH PROBLEM, ILLNESS, DISABILITY FOR CARE FOR PERSON?",float64,23932,"[10.0, 13.0, 5.0]"
CRGVPERS,MANAGED PERSONAL CARE,float64,23902,"[2.0, 1.0, 1.0]"
CRGVHOUS,MANAGED HOUSEHOLD TASKS,float64,23885,"[1.0, 1.0, 1.0]"
CRGVMST2,WHICH SUPPORT DO YOU MOST NEED THAT YOU ARE NOT GETTING?,float64,23822,"[6.0, 2.0, 6.0]"
CRGVEXPT,DO YOU EXPECT TO HAVE A RELATIVE YOU WILL NEED TO PROVIDE CARE FOR?,float64,84687,"[1.0, 2.0, 7.0]"
VIDFCLT2,DIFFICULTY RECOGNIZING FRIEND ACROSS STREET,float64,3199,"[1.0, 1.0, 2.0]"
VIREDIF3,DIFFICULTY READING TYPED TEXT,float64,3188,"[3.0, 1.0, 2.0]"
VIPRFVS2,LAST TIME VISITED EYE CARE PROVIDER,float64,3188,"[3.0, 1.0, 2.0]"
VINOCRE2,REASON DID NOT USE EYE DOC PAST 12 MOS,float64,1068,"[5.0, 7.0, 7.0]"
VIEYEXM2,WHEN LAST EYEXAM,float64,2529,"[3.0, 1.0, 2.0]"
VIINSUR2,EYE CARE HEALTH INSURANCE,float64,3181,"[1.0, 2.0, 1.0]"
VICTRCT4,HLTH CARE PRO SAID NOW HAVE CATARACTS,float64,3178,"[3.0, 3.0, 3.0]"
VIGLUMA2,HLTH CARE PRO EVER SAID HAVE GLAUCOMA,float64,3178,"[2.0, 2.0, 2.0]"
VIMACDG2,HLTH CARE PRO EVER SAID HAVE MACULAR DEGENERATION,float64,3175,"[2.0, 2.0, 2.0]"
CIMEMLOS,HAVE YOU EXPERIENCED CONFUSION OR MEMORY LOSS THAT IS HAPPENING MORE OFTEN OR IS GETTING WORSE?,float64,116729,"[1.0, 1.0, 2.0]"
CDHOUSE,GIVEN UP DAY-TO-DAY CHORES DUE TO CONFUSION OR MEMORY LOSS,float64,13256,"[5.0, 1.0, 7.0]"
CDASSIST,NEED ASSISTANCE WITH DAY-TO_DAY ACTIVITIES DUE TO CONFUSION OR MEMORY LOSS,float64,13241,"[5.0, 1.0, 1.0]"
CDHELP,WHEN YOU NEED HELP WITH DAY-TO-DAY ACTIVITIES ARE YOU ABLE TO GET IT,float64,4326,"[2.0, 1.0, 3.0]"
CDSOCIAL,DOES CONFUSION OR MEMORY LOSS INTERFERE WITH WORK OR SOCIAL ACTIVITIES,float64,13218,"[5.0, 1.0, 1.0]"
CDDISCUS,HAVE YOU DISCUSSED YOUR CONFUSION OR MEMORY LOSS WITH A HEALTH CARE PROFESSIONAL?,float64,13201,"[2.0, 1.0, 1.0]"
WTCHSALT,WATCHING SODIUM OR SALT INTAKE,float64,41299,"[2.0, 2.0, 1.0]"
LONGWTCH,HOW LONG WATCHING SALT/SODIUM INTAKE,float64,25462,"[777.0, 415.0, 403.0]"
DRADVISE,DOCTOR ADVISED REDUCED SODIUM/SALT INTAKE,float64,41263,"[2.0, 2.0, 2.0]"
ASTHMAGE,AGE AT ASTHMA DIAGNOSIS,float64,1023,"[42.0, 97.0, 58.0]"
ASATTACK,ASTHMA DURING PAST 12 MONTHS,float64,648,"[1.0, 2.0, 2.0]"
ASERVIST,EMERGENCY ASTHMA CARE DURING PAST 12 MONTHS,float64,313,"[88.0, 1.0, 88.0]"
ASDRVIST,URGENT ASTHMA TREATMENT DURING PAST 12 MONTHS,float64,312,"[88.0, 1.0, 88.0]"
ASRCHKUP,ROUTINE ASTHMA CARE DURING PAST 12 MONTHS,float64,644,"[88.0, 88.0, 2.0]"
ASACTLIM,ACTIVITIES LIMITED DUE TO ASTHMA DURING PAST 12 MONTHS,float64,644,"[888.0, 888.0, 888.0]"
ASYMPTOM,ASTHMA SYMPTOMS DURING PAST 30 DAYS,float64,641,"[8.0, 1.0, 8.0]"
ASNOSLEP,SLEEP DIFFICULTY DUE TO ASTHMA DURING PAST 30 DAYS,float64,457,"[8.0, 1.0, 2.0]"
ASTHMED3,DAYS USED PRESCRIBED PREVENTATIVE ASTHMA MED IN PAST 30 DAYS,float64,639,"[3.0, 3.0, 8.0]"
ASINHALR,TIMES USED ASTHMA INHALER DURING AN ATTACK IN PAST 30 DAYS,float64,639,"[8.0, 8.0, 8.0]"
HAREHAB1,OUTPATIENT REHAB AFTER HEART ATTACK HOSP STAY,float64,1011,"[1.0, 1.0, 2.0]"
STREHAB1,OUTPATIENT REHAB AFTER HOSP STAY FOR STROKE,float64,694,"[2.0, 2.0, 2.0]"
CVDASPRN,TAKE ASPIRIN DAILY OR EVERY OTHER DAY,float64,18798,"[2.0, 2.0, 2.0]"
ASPUNSAF,HEALTH MAKES TAKING ASPIRIN UNSAFE,float64,13177,"[3.0, 1.0, 3.0]"
RLIVPAIN,TAKE ASPIRIN TO RELIEVE PAIN,float64,5619,"[2.0, 2.0, 2.0]"
RDUCHART,TAKE ASPIRIN TO REDUCE CHANCE OF HEART ATTACK,float64,5619,"[2.0, 1.0, 1.0]"
RDUCSTRK,TAKE ASPIRIN TO REDUCE CHANCE OF STROKE,float64,5618,"[2.0, 1.0, 1.0]"
ARTTODAY,WHAT CAN YOU DO BECAUSE OF ARTHRITIS OR JOINT SYMPTOMS,float64,19687,"[3.0, 2.0, 3.0]"
ARTHWGT,DR. SUGGEST LOSE WEIGHT FOR ARTHRITIS OR JOINT SYMPTOMS,float64,19675,"[1.0, 2.0, 2.0]"
ARTHEXER,DR. SUGGEST USE OF PHYSICAL ACTIVITY OR EXERCISE FOR ARTHRITIS OR JOINT SYMPTOMS,float64,19670,"[1.0, 1.0, 2.0]"
ARTHEDU,EVER TAKEN CLASS IN MANAGING ARTHRITIS OR JOINT SYMPTOMS,float64,19660,"[2.0, 2.0, 2.0]"
TETANUS,RECEIVED TETANUS SHOT SINCE 2005?,float64,40587,"[3.0, 1.0, 3.0]"
HPVADVC2,EVER HAD THE HPV VACCINATION?,float64,10923,"[2.0, 2.0, 2.0]"
HPVADSHT,NUMBER OF HPV SHOTS RECEIVED,float64,1448,"[77.0, 3.0, 3.0]"
SHINGLE2,HAVE YOU EVER HAD THE SHINGLES OR ZOSTER VACCINE?,float64,28059,"[2.0, 1.0, 2.0]"
HADMAM,HAVE YOU EVER HAD A MAMMOGRAM,float64,22813,"[1.0, 1.0, 1.0]"
HOWLONG,HOW LONG SINCE LAST MAMMOGRAM,float64,18542,"[1.0, 1.0, 1.0]"
HADPAP2,EVER HAD A PAP TEST,float64,22802,"[1.0, 1.0, 1.0]"
LASTPAP2,HOW LONG SINCE LAST PAP TEST,float64,21267,"[3.0, 5.0, 1.0]"
HPVTEST,HAVE YOU EVER HAD AN HPV TEST?,float64,22789,"[2.0, 7.0, 2.0]"
HPLSTTST,HOW LONG SINCE YOUR LAST HPV TEST?,float64,6907,"[1.0, 2.0, 5.0]"
HADHYST2,HAD HYSTERECTOMY,float64,22567,"[1.0, 1.0, 1.0]"
PROFEXAM,EVER HAD BREAST PHYSICAL EXAM BY DOCTOR,float64,5645,"[1.0, 1.0, 1.0]"
LENGEXAM,HOW LONG SINCE LAST BREAST PHYSICAL EXAM,float64,4933,"[1.0, 1.0, 1.0]"
BLDSTOOL,EVER HAD BLOOD STOOL TEST USING HOME KIT,float64,54375,"[2.0, 2.0, 2.0]"
LSTBLDS3,TIME SINCE LAST BLOOD STOOL TEST,float64,19777,"[5.0, 2.0, 1.0]"
HADSIGM3,EVER HAD SIGMOIDOSCOPY/COLONOSCOPY,float64,54343,"[2.0, 1.0, 1.0]"
HADSGCO1,WAS LAST TEST A SIGMOIDOSCOPY OR COLONOSCOPY,float64,39361,"[2.0, 2.0, 2.0]"
LASTSIG3,TIME SINCE LAST SIGMOIDOSCOPY/COLONOSCOPY,float64,39358,"[1.0, 5.0, 1.0]"
PCPSAAD2,HAS A HEALTH PROFESSIONAL EVER TALKED WITH YOU ABOUT THE ADVANTAGES OF THE PSA TEST?,float64,6627,"[1.0, 7.0, 1.0]"
PCPSADI1,HAS A HEALTH PROFESSIONAL EVER TALKED WITH YOU ABOUT THE DISADVANTAGES OF THE PSA TEST?,float64,6620,"[1.0, 7.0, 1.0]"
PCPSARE1,HAS A DOCTOR EVER RECOMMENDED THAT YOU HAVE A PSA TEST?,float64,6615,"[2.0, 7.0, 1.0]"
PSATEST1,EVER HAD PSA TEST,float64,6615,"[1.0, 7.0, 1.0]"
PSATIME,TIME SINCE LAST PSA TEST,float64,3634,"[3.0, 1.0, 1.0]"
PCPSARS1,WHAT WAS THE MAIN REASON YOU HAD THIS PSA TEST?,float64,3631,"[1.0, 1.0, 4.0]"
PCPSADE1,WHY WAS PSA TEST DONE?,float64,819,"[1.0, 2.0, 3.0]"
PCDMDECN,WHO MADE THE DECISION WITH YOU TO HAVE PSA TEST?,object,441456,"['', '', '']"
SCNTMNY1,TIMES PAST 12 MONTHS WORRIED/STRESSED ABOUT HAVING ENOUGH MONEY TO PAY YOUR RENT/MORTGAGE?,float64,69502,"[1.0, 4.0, 5.0]"
SCNTMEL1,TIMES PAST 12 MONTHS WORRIED/STRESSED ABOUT HAVING ENOUGH MONEY TO BUY NUTRITIOUS MEALS?,float64,73360,"[2.0, 7.0, 5.0]"
SCNTPAID,HOW ARE YOU GENERALLY PAID FOR THE WORK YOU DO,float64,34755,"[1.0, 1.0, 9.0]"
SCNTWRK1,HOW MANY HOURS PER WEEK DO YOU WORK,float64,34734,"[54.0, 60.0, 99.0]"
SCNTLPAD,HOW WERE YOU GENERALLY PAID FOR THE WORK YOU DID,float64,25705,"[2.0, 2.0, 1.0]"
SCNTLWK1,HOW MANY HOURS PER WEEK DID YOU WORK,float64,38422,"[60.0, 97.0, 45.0]"
SXORIENT,SEXUAL ORIENTATION OR GENDER IDENTITY,float64,166997,"[1.0, 3.0, 1.0]"
TRNSGNDR,DO YOU CONSIDER YOURSELF TO BE TRANSGENDER?,float64,166907,"[4.0, 7.0, 4.0]"
RCSGENDR,GENDER OF CHILD,float64,59610,"[1.0, 1.0, 2.0]"
RCSRLTN2,RELATIONSHIP TO CHILD,float64,59416,"[1.0, 1.0, 1.0]"
CASTHDX2,HLTH PRO EVER SAID CHILD HAS ASTHMA,float64,52305,"[1.0, 2.0, 1.0]"
CASTHNO2,CHILD STILL HAVE ASTHMA?,float64,6503,"[1.0, 2.0, 1.0]"
EMTSUPRT,HOW OFTEN GET EMOTIONAL SUPPORT NEEDED,float64,20064,"[2.0, 1.0, 1.0]"
LSATISFY,SATISFACTION WITH LIFE,float64,20052,"[1.0, 2.0, 1.0]"
ADPLEASR,DAYS HAD LITTLE PLEASURE DOING THINGS,float64,20445,"[2.0, 88.0, 88.0]"
ADDOWN,"DAYS FELT DOWN, DEPRESSED OR HOPELESS",float64,20429,"[88.0, 88.0, 88.0]"
ADSLEEP,DAYS HAD TROUBLE WITH SLEEP,float64,20419,"[88.0, 7.0, 88.0]"
ADENERGY,DAYS WERE TIRED OR HAD LITTLE ENERGY,float64,20413,"[88.0, 88.0, 88.0]"
ADEAT1,DAYS ATE TOO LITTLE OR TOO MUCH,float64,20402,"[88.0, 88.0, 88.0]"
ADFAIL,DAYS FELT LIKE FAILURE OR LET FAMILY DOWN,float64,20395,"[88.0, 88.0, 88.0]"
ADTHINK,DAYS HAD TROUBLE CONCENTRATING,float64,20381,"[88.0, 2.0, 88.0]"
ADMOVE,DAYS TALKED TO MOVE SLOWER OR FASTER THAN USUAL,float64,20365,"[88.0, 88.0, 88.0]"
MISTMNT,RECEIVING MEDICINE OR TREATMENT FROM HEALTH PRO FOR EMOTIONAL PROBLEM,float64,20350,"[2.0, 2.0, 2.0]"
ADANXEV,EVER TOLD YOU HAD AN ANXIETY DISORDER,float64,20342,"[2.0, 2.0, 2.0]"
QSTVER,QUESTIONNAIRE VERSION IDENTIFIER,float64,441456,"[10.0, 10.0, 10.0]"
QSTLANG,LANGUAGE IDENTIFIER,float64,441434,"[1.0, 1.0, 1.0]"
EXACTOT1,FIRST ACTIVITY OTHER RESPONSE DESCRIPTION,object,441456,"['', '', '']"
EXACTOT2,SECOND ACTIVITY OTHER RESPONSE DESCRIPTION,object,441456,"['', '', '']"
MSCODE,METROPOLITAN STATUS CODE,float64,250579,"[3.0, 5.0, 5.0]"
_STSTR,SAMPLE DESIGN STRATIFICATION VARIABLE,float64,441456,"[11011.0, 11011.0, 11011.0]"
_STRWT,STRATUM WEIGHT,float64,441430,"[28.781560195347467, 28.781560195347467, 28.781560195347467]"
_RAWRAKE,RAW WEIGHTING FACTOR USED IN RAKING,float64,441456,"[3.0, 1.0, 2.0]"
_WT2RAKE,DESIGN WEIGHT USED IN RAKING,float64,441456,"[86.3446805860424, 28.781560195347467, 57.563120390694934]"
_CHISPNC,"CHILD HISPANIC, LATINO/A, OR SPANISH ORIGIN CALCULATED VARIABLE",float64,319635,"[9.0, 9.0, 9.0]"
_CRACE1,CHILD NON-HISPANIC RACE INCLUDING MULTIRACIAL,float64,65129,"[1.0, 4.0, 1.0]"
_CPRACE,PREFERRED CHILD RACE CATEGORIES,float64,65129,"[1.0, 4.0, 1.0]"
_CLLCPWT,FINAL CHILD WEIGHT: LAND-LINE AND CELL-PHONE DATA,float64,59590,"[3583.3531911563737, 5685.400614180306, 2575.217372007547]"
_DUALUSE,DUAL PHONE USE CATEGORIES,float64,441456,"[1.0, 9.0, 1.0]"
